date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:31	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Jun%202018%2006:49:31%20GMT	http://tamzidhossain.info/robots.txt		(from )
11:49:32	54286/54286	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:45:40%20GMT	http://tamzidhossain.info/html/jalapino-online/	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/index.html	(from )
11:49:34	57095/57095	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Aug%202016%2005:52:54%20GMT	http://tamzidhossain.info/html/jalapino-online/css/animate.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/css/animate.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:35	411/411	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Aug%202016%2005:52:54%20GMT	http://tamzidhossain.info/html/jalapino-online/css/site.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/css/site.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:37	121260/121260	---M--	200	added ('OK')	text/css	date:Sun,%2007%20Aug%202016%2008:36:18%20GMT	http://tamzidhossain.info/html/jalapino-online/css/bootstrap.min.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/css/bootstrap.min.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:37	29056/29056	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Nov%202016%2017:03:58%20GMT	http://tamzidhossain.info/html/jalapino-online/css/font-awesome.min.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/css/font-awesome.min.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:39	117305/117305	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Oct%202016%2007:01:24%20GMT	http://tamzidhossain.info/html/jalapino-online/assets/css/bootstrap.min.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/assets/css/bootstrap.min.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:40	74361/74361	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Oct%202016%2007:01:24%20GMT	http://tamzidhossain.info/html/jalapino-online/assets/css/animate.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/assets/css/animate.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:41	1174/1174	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202018%2019:10:32%20GMT	http://tamzidhossain.info/html/jalapino-online/css/owl.carousel.min.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/css/owl.carousel.min.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:41	1152/1152	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202018%2019:11:26%20GMT	http://tamzidhossain.info/html/jalapino-online/css/owl.theme.min.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/css/owl.theme.min.css	(from http://tamzidhossain.info/html/jalapino-online/)
11:49:42	778/778	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Dec%202016%2014:51:10%20GMT	http://tamzidhossain.info/html/jalapino-online/css/jquerysctipttop.css	C:/Users/CoolBoy/Desktop/portfolio/tamzidhossain.info/html/jalapino-online/css/jquerysctipttop.css	(from http://tamzidhossain.info/html/jalapino-online/)
